timestamp,image_filename,magnetic_field_x,magnetic_field_y,magnetic_field_z,gps_latitude,gps_longitude,gps_altitude,heading_degrees,offset_degrees
1.7304E+18,/home/john/Documents/webcam_images/1730400643338032722.png,0.204463378,0.039643154,0.615300238,41.3908903,-73.95312074,-34.30286026,349.02714,314.02714
1.7304E+18,/home/john/Documents/webcam_images/1730400643402493000.png,0.207617998,0.037319124,0.611321032,41.39089041,-73.95312034,-34.29044819,349.8099578,314.8099578
1.7304E+18,/home/john/Documents/webcam_images/1730400643464294433.png,0.205462605,0.036221992,0.612694979,41.39089066,-73.95311995,-34.30745512,350.0017873,315.0017873
1.7304E+18,/home/john/Documents/webcam_images/1730400643547934055.png,0.204380527,0.035090536,0.616489112,41.39089092,-73.95311956,-34.32389685,350.2577503,315.2577503
1.7304E+18,/home/john/Documents/webcam_images/1730400643620740413.png,0.202198312,0.032875597,0.614116907,41.39089042,-73.9531191,-34.28925076,350.7650418,315.7650418
1.7304E+18,/home/john/Documents/webcam_images/1730400643693366765.png,0.200037315,0.031796724,0.611758649,41.39089066,-73.95311871,-34.29954895,350.9681702,315.9681702
1.7304E+18,/home/john/Documents/webcam_images/1730400643765316009.png,0.204250693,0.028284311,0.61392045,41.39089092,-73.95311834,-34.30780198,352.1159122,317.1159122
1.7304E+18,/home/john/Documents/webcam_images/1730400643837391853.png,0.20645155,0.031641632,0.615060687,41.39089115,-73.95311805,-34.30416372,351.286413,316.286413
1.7304E+18,/home/john/Documents/webcam_images/1730400643898221969.png,0.201109752,0.031762205,0.61417681,41.39089137,-73.95311763,-34.31284065,351.0251403,316.0251403
1.7304E+18,/home/john/Documents/webcam_images/1730400643965478420.png,0.202134371,0.029465554,0.614075363,41.3908916,-73.95311722,-34.32274552,351.7062897,316.7062897
1.7304E+18,/home/john/Documents/webcam_images/1730400644037409543.png,0.206418172,0.030527154,0.610058784,41.39089165,-73.95311686,-34.3196638,351.5875127,316.5875127
1.7304E+18,/home/john/Documents/webcam_images/1730400644101140260.png,0.20336321,0.03854401,0.611612856,41.39089186,-73.9531164,-34.33442387,349.2678678,314.2678678
1.7304E+18,/home/john/Documents/webcam_images/1730400644167377710.png,0.19802776,0.038646091,0.614462614,41.39089205,-73.95311594,-34.34952737,348.9572404,313.9572404
1.7304E+18,/home/john/Documents/webcam_images/1730400644245348453.png,0.195955813,0.042094395,0.615889132,41.39089211,-73.95311546,-34.35305734,347.8762106,312.8762106
1.7304E+18,/home/john/Documents/webcam_images/1730400644321087837.png,0.201247662,0.039718062,0.613008678,41.39089232,-73.95311491,-34.36628144,348.8356327,313.8356327
1.7304E+18,/home/john/Documents/webcam_images/1730400644395706415.png,0.207631052,0.038450055,0.611315429,41.39089261,-73.95311412,-34.3516653,349.5085603,314.5085603
1.7304E+18,/home/john/Documents/webcam_images/1730400644471541166.png,0.203336492,0.037411027,0.610346258,41.39089279,-73.95311363,-34.3609057,349.5749786,314.5749786
1.7304E+18,/home/john/Documents/webcam_images/1730400644548007249.png,0.200044289,0.032946303,0.608018875,41.39089296,-73.9531132,-34.37100419,350.6476252,315.6476252
1.7304E+18,/home/john/Documents/webcam_images/1730400644617708444.png,0.203299806,0.035119329,0.6140517,41.39089336,-73.95311259,-34.37084492,350.1990819,315.1990819
1.7304E+18,/home/john/Documents/webcam_images/1730400644692029476.png,0.187388882,0.041138746,0.616445303,41.39089361,-73.95311208,-34.38693491,347.617901,312.617901
1.7304E+18,/home/john/Documents/webcam_images/1730400644764686822.png,0.204443946,0.039659206,0.610295475,41.39089386,-73.95311161,-34.40543808,349.0217869,314.0217869
1.7304E+18,/home/john/Documents/webcam_images/1730400644843836307.png,0.205534309,0.040766455,0.611479521,41.39089406,-73.95311126,-34.41484637,348.7813402,313.7813402
1.7304E+18,/home/john/Documents/webcam_images/1730400644920123338.png,0.205596074,0.044174422,0.611516356,41.39089435,-73.95311082,-34.43365988,347.873774,312.873774
1.7304E+18,/home/john/Documents/webcam_images/1730400644992364645.png,0.20343934,0.04308353,0.611647248,41.39089487,-73.95311034,-34.44819771,348.0428071,313.0428071
1.7304E+18,/home/john/Documents/webcam_images/1730400645078611373.png,0.198122159,0.04433547,0.612024367,41.39089515,-73.95310987,-34.45800343,347.3862511,312.3862511
1.7304E+18,/home/john/Documents/webcam_images/1730400645158457756.png,0.201245606,0.039708827,0.614242852,41.39089555,-73.95310928,-34.46718807,348.8380522,313.8380522
1.7304E+18,/home/john/Documents/webcam_images/1730400645255010128.png,0.198083803,0.04205019,0.614485383,41.39089595,-73.95310879,-34.45904865,348.0148958,313.0148958
1.7304E+18,/home/john/Documents/webcam_images/1730400645326947689.png,0.192759454,0.043311603,0.612366438,41.39089618,-73.95310829,-34.46771639,347.3363872,312.3363872
1.7304E+18,/home/john/Documents/webcam_images/1730400645393513441.png,0.195988372,0.044367563,0.614652514,41.39089661,-73.95310781,-34.48089377,347.2444597,312.2444597
1.7304E+18,/home/john/Documents/webcam_images/1730400645472021579.png,0.198243335,0.051157739,0.610853612,41.39089687,-73.95310727,-34.495931,345.5302021,310.5302021
1.7304E+18,/home/john/Documents/webcam_images/1730400645542288303.png,0.193953842,0.050107632,0.612375975,41.39089708,-73.9531067,-34.50973544,345.5144663,310.5144663
